,Nr. crt. ,Județ ,20 ianuarie,21 ianuarie,22 ianuarie,23 ianuarie,24 ianuarie,25 ianuarie,26 ianuarie
0,1.,Alba,50,38,377,45,36,34,35
1,2.,Arad,54,76,406,53,27,18,47
2,3.,Argeș,44,54,529,32,23,20,33
3,4.,Bacău,73,70,359,60,63,37,67
4,5.,Bihor,82,50,708,70,73,36,65
5,6.,Bistrița-Năsăud,34,33,229,25,18,10,20
6,7.,Botoșani,78,59,224,68,31,35,71
7,8.,Brașov,150,116,566,86,116,41,132
8,9.,Brăila,29,38,84,22,14,6,16
9,10.,Buzău,16,14,143,11,14,24,14
10,11.,Caraș-Severin,35,32,117,80,27,22,9
11,12.,Călărași,26,23,133,18,9,21,15
12,13.,Cluj,186,201,893,166,88,234,76
13,14.,Constanța,121,56,1164,65,44,125,76
14,15.,Covasna,25,7,17,9,15,7,11
15,16.,Dâmbovița,44,60,199,54,42,42,59
16,17.,Dolj,48,50,307,69,79,20,63
17,18.,Galați,67,83,377,121,40,44,92
18,19.,Giurgiu,74,9,122,17,51,3,25
19,20.,Gorj,28,24,87,19,10,9,31
20,21.,Harghita,32,13,123,13,6,19,17
21,22.,Hunedoara,63,91,484,62,58,17,76
22,23.,Ialomița,21,14,62,12,18,16,20
23,24.,Iași,125,104,742,103,94,58,109
24,25.,Ilfov,120,146,377,141,52,150,78
25,26.,Maramureș,64,121,239,125,66,71,133
26,27.,Mehedinți,13,17,42,10,14,18,19
27,28.,Mureș,65,48,347,52,33,23,43
28,29.,Neamț,58,67,314,86,36,37,55
29,30.,Olt,46,58,102,24,24,15,30
30,31.,Prahova,73,49,347,66,25,44,71
31,32.,Satu,73,49,273,40,26,30,59
32,33.,Sălaj,75,45,181,45,33,11,29
33,34.,Sibiu,44,44,404,49,27,53,28
34,35.,Suceava,114,112,548,146,83,22,112
35,36.,Teleorman,35,21,57,33,3,16,66
36,37.,Timiș,194,245,514,169,127,126,174
37,38.,Tulcea,15,22,199,26,19,17,12
38,39.,Vaslui,54,34,129,49,25,38,32
39,40.,Vâlcea,24,42,119,5,43,16,49
40,41.,Vrancea,30,17,90,23,17,9,21
41,42.,București,257,447,2502,505,342,400,310
